make,model,model_year,rating,origin_country,category
Oldsmobile,Bravada,1999,62,Czech Republic,Convertible
GMC,Vandura 2500,1993,82,China,SUV
Pontiac,Sunbird,1983,28,Ecuador,Truck
Chrysler,Sebring,1995,100,Serbia,Truck
Dodge,Ram Wagon B250,1994,27,Peru,Hatchback
Studebaker,Avanti,1963,55,Poland,Convertible
Hummer,H1,2006,3,Indonesia,SUV
Mercedes-Benz,S-Class,2011,51,Indonesia,SUV
Saab,9-3,2010,36,Indonesia,SUV
Subaru,Impreza,2005,40,Ukraine,Truck
Toyota,4Runner,2003,44,Philippines,Convertible
BMW,X5,2008,8,Portugal,Hatchback
Volkswagen,Phaeton,2004,63,Brazil,Hatchback
Chevrolet,S10,1996,23,France,SUV
GMC,Savana 2500,2007,99,Indonesia,SUV
GMC,Savana 1500,1999,100,Thailand,Convertible
Mazda,MPV,1998,72,Peru,Convertible
GMC,Savana 1500,2009,27,Costa Rica,Truck
Jaguar,XK,2008,3,Thailand,Convertible
Dodge,Durango,2000,62,Cuba,Sedan
Volkswagen,Jetta,2010,16,China,Truck
Toyota,Tundra,2008,59,China,Convertible
Mazda,Miata MX-5,2011,38,Croatia,Hatchback
Ford,Aerostar,1989,55,United States,Sedan
Honda,Accord,2004,26,China,Hatchback
Pontiac,Bonneville,1984,10,China,Truck
Toyota,Corolla,1996,77,Portugal,Sedan
Mitsubishi,Outlander Sport,2012,37,Portugal,Convertible
Mercedes-Benz,SL-Class,2007,69,Indonesia,SUV
Chevrolet,Corvette,2009,57,Sweden,Truck
Oldsmobile,Aurora,1995,10,Argentina,Sedan
Eagle,Vision,1997,59,Finland,Hatchback
Ford,E250,2004,79,Russia,SUV
Nissan,Frontier,2005,86,Uzbekistan,Truck
Volvo,S40,2010,13,Poland,Hatchback
Lotus,Exige,2006,14,China,SUV
Hyundai,Sonata,2004,86,Pakistan,Sedan
Toyota,Avalon,2001,45,China,Convertible
Audi,4000CS Quattro,1987,76,Cuba,Hatchback
GMC,3500 Club Coupe,1995,5,Albania,Sedan
BMW,M6,2008,89,China,Sedan
Nissan,Xterra,2003,9,Colombia,Sedan
Kia,Spectra,2003,27,Afghanistan,Truck
Mazda,MX-5,1996,78,China,Convertible
Chevrolet,HHR,2008,14,Vietnam,Convertible
Nissan,300ZX,1995,76,Cuba,Truck
Mazda,MPV,2001,7,Thailand,Sedan
GMC,Sierra 2500,2003,57,Russia,Convertible
Chrysler,New Yorker,1995,39,China,Sedan
Mazda,MX-5,1999,76,Denmark,SUV
Ram,Dakota,2011,98,China,Convertible
Honda,Accord,1994,40,Greece,Hatchback
Nissan,Maxima,2007,13,Indonesia,Truck
Chevrolet,G-Series G30,1994,36,China,Hatchback
Ford,Thunderbird,1980,21,Cuba,Hatchback
Nissan,Pathfinder,2007,68,Iceland,Convertible
Lexus,LS,2001,69,France,Truck
Lincoln,Town Car,2006,14,Indonesia,Hatchback
Porsche,944,1989,48,Nigeria,Sedan
Mazda,MPV,1993,9,Japan,SUV
Maybach,62,2006,14,Indonesia,Truck
Ford,Windstar,2004,21,Russia,Hatchback
Toyota,4Runner,2006,42,Portugal,Truck
Mazda,626,1983,53,Ivory Coast,Convertible
Mercury,Villager,1993,87,Sweden,Hatchback
Volkswagen,Golf,1986,20,Cuba,SUV
Suzuki,Swift,1996,50,Peru,Convertible
Pontiac,Grand Prix,2008,13,Iran,SUV
Mazda,Mazda5,2012,51,China,Truck
Acura,RL,2008,87,Bulgaria,SUV
Isuzu,Axiom,2004,15,China,SUV
Ford,E250,2012,78,China,Convertible
Mercury,Sable,2002,67,China,Convertible
Pontiac,LeMans,1988,92,China,Sedan
Buick,Regal,1991,11,Slovenia,Truck
Acura,TL,2009,86,Philippines,Convertible
Lamborghini,Diablo,1990,46,France,Truck
Ford,Ranger,1988,15,Indonesia,Sedan
Chrysler,Town & Country,2011,28,Portugal,SUV
Ford,Crown Victoria,2010,7,Kazakhstan,Sedan
Nissan,Sentra,2011,28,Ecuador,Convertible
Panoz,Esperante,2008,57,China,Sedan
Chevrolet,Express 3500,2006,66,Yemen,Truck
Audi,A8,1998,87,Indonesia,Truck
Ford,E-Series,2006,44,Poland,Sedan
Ford,F250,1984,15,Benin,Convertible
Maybach,62,2007,86,Kazakhstan,Convertible
Dodge,Stealth,1996,60,Ivory Coast,Hatchback
Chevrolet,Corvette,1998,26,Argentina,Sedan
Suzuki,SJ,1995,96,Dominican Republic,SUV
Plymouth,Colt,1993,87,France,Convertible
Chevrolet,Camaro,1974,45,China,Truck
Chevrolet,Astro,2005,75,Germany,SUV
Mazda,Miata MX-5,2003,31,Japan,SUV
Pontiac,Grand Prix,1974,53,Serbia,Sedan
Chevrolet,APV,1993,5,Guatemala,SUV
Ford,Excursion,2000,59,Portugal,Hatchback
Porsche,928,1993,19,Portugal,Hatchback
Saab,9-5,2001,89,Portugal,SUV
Cadillac,DTS,2006,56,Mongolia,Truck
Volvo,V40,2001,71,China,Sedan
Mercury,Milan,2006,20,Greece,Hatchback
Mazda,MX-6,1994,81,Cuba,Truck
Cadillac,DTS,2011,57,South Africa,SUV
GMC,Yukon XL 1500,2006,74,China,Hatchback
Chevrolet,Impala,2010,41,China,Truck
Mitsubishi,Outlander,2010,85,Russia,Convertible
Volkswagen,Fox,1991,76,Colombia,Convertible
Acura,RL,2001,4,Ethiopia,Hatchback
Pontiac,Sunfire,2001,56,China,Hatchback
Suzuki,Swift,1993,20,Brazil,Sedan
Mazda,MPV,2005,15,France,Convertible
Ford,C-MAX Hybrid,2013,1,Nigeria,Hatchback
Mercedes-Benz,300SE,1993,52,China,Sedan
Mercedes-Benz,Sprinter 3500,2011,95,Mexico,SUV
Toyota,Camry,1994,58,Afghanistan,SUV
Ford,Mustang,1971,54,China,Truck
Audi,4000,1987,99,Paraguay,Truck
Ford,Bronco II,1986,38,Marshall Islands,Sedan
Toyota,Land Cruiser,2000,52,Indonesia,SUV
Mazda,MX-5,2012,61,Afghanistan,Convertible
Saab,900,1993,67,Kenya,Sedan
Chevrolet,G-Series G30,1993,18,China,SUV
Nissan,Pathfinder,1993,10,Afghanistan,Truck
Jeep,Wrangler,1997,47,China,SUV
Lexus,GS,1996,44,Finland,Truck
Toyota,Highlander,2008,40,Philippines,Truck
Jeep,Liberty,2010,52,Colombia,SUV
Mercedes-Benz,400E,1992,41,Canada,Truck
GMC,Yukon XL 2500,2009,62,Poland,Hatchback
Pontiac,Firebird,1996,46,Norway,Hatchback
Mercedes-Benz,300SE,1993,30,Greenland,Convertible
Audi,S5,2009,45,Poland,Sedan
Porsche,968,1994,18,Guatemala,Sedan
Mercedes-Benz,C-Class,2012,100,Russia,Hatchback
Lincoln,Navigator L,2007,53,Greece,Truck
Dodge,Ram 3500,2004,34,Peru,Sedan
Chevrolet,Express 1500,2012,80,Indonesia,Sedan
Saab,9-3,2003,66,Honduras,Sedan
Mitsubishi,Galant,2004,83,China,Hatchback
Chevrolet,Corvette,1999,33,China,Convertible
Nissan,Versa,2008,79,Yemen,Truck
Infiniti,QX,2000,64,China,Truck
Porsche,Cayman,2006,65,Russia,SUV
Lotus,Exige,2005,28,Brazil,Convertible
Mercury,Grand Marquis,1991,15,China,Convertible
Chevrolet,Impala,2012,6,Thailand,SUV
Ford,Excursion,2000,89,China,Hatchback
Hyundai,Tiburon,1998,26,Indonesia,Sedan
Toyota,Avalon,2011,6,Indonesia,Sedan
Chevrolet,S10,2003,32,Sweden,SUV
Eagle,Premier,1992,57,Philippines,Convertible
Scion,xD,2009,63,China,Sedan
Dodge,Ram Van B150,1994,72,Tanzania,Hatchback
Cadillac,DTS,2010,16,Poland,Convertible
GMC,Yukon,2003,5,Mongolia,SUV
GMC,Jimmy,2001,11,Syria,SUV
Mazda,Mazdaspeed 3,2008,77,Sudan,Sedan
Nissan,Maxima,2009,62,Vietnam,Convertible
Cadillac,Escalade ESV,2005,69,Japan,Convertible
Chevrolet,Aveo,2006,22,China,SUV
Hummer,H3,2010,15,China,Truck
GMC,Savana 3500,2011,33,China,Sedan
Chevrolet,Avalanche 2500,2005,3,Madagascar,SUV
Ford,Mustang,2005,34,China,Sedan
Isuzu,Space,1993,36,China,Convertible
Volkswagen,Passat,2009,98,Ukraine,Sedan
Mazda,Mazda6 Sport,2006,51,China,Convertible
Chevrolet,Blazer,2001,78,Palestinian Territory,Sedan
BMW,Z4,2009,44,Kenya,Sedan
Chevrolet,Avalanche 1500,2003,85,Russia,Truck
Citroën,2CV,1948,49,France,SUV
Eagle,Summit,1993,19,Guatemala,Truck
Chevrolet,Tahoe,2009,94,Portugal,Hatchback
MINI,Cooper,2011,6,Philippines,Hatchback
GMC,Sonoma Club,1992,93,Norway,Truck
Subaru,Legacy,1996,36,Croatia,Truck
Chevrolet,Impala,2011,30,Philippines,Convertible
Mercedes-Benz,SL-Class,1997,1,Indonesia,Hatchback
Infiniti,EX,2010,89,Cuba,SUV
Cadillac,CTS-V,2006,93,New Zealand,Hatchback
Chevrolet,Corvette,2006,74,Brazil,Convertible
GMC,Yukon XL 2500,2003,38,Madagascar,Truck
GMC,Yukon XL 1500,2004,37,Brazil,SUV
Chrysler,Town & Country,2006,36,Portugal,Hatchback
Mercedes-Benz,C-Class,1995,67,Sweden,Sedan
Kia,Optima,2007,46,Zambia,Convertible
Ford,Explorer,2003,84,Serbia,Convertible
BMW,7 Series,2006,7,China,SUV
Chevrolet,Suburban 1500,2005,18,China,Sedan
GMC,Vandura 3500,1994,92,Chile,Convertible
Spyker,C8 Spyder Wide Body,2004,40,Palestinian Territory,Hatchback
Nissan,Armada,2005,54,Indonesia,Hatchback
Cadillac,STS,2006,73,United States,Truck
Mitsubishi,GTO,1997,64,Sweden,Convertible
Cadillac,Escalade,2009,79,Indonesia,Convertible
Dodge,Caravan,1997,19,Thailand,Sedan
Honda,Odyssey,2012,87,Indonesia,Sedan
Lincoln,Continental,1999,76,Russia,SUV
Chrysler,Concorde,1997,1,China,Truck
Mazda,MX-5,1995,97,Norway,Truck
Rolls-Royce,Ghost,2012,98,Czech Republic,Convertible
Nissan,Rogue,2009,85,Colombia,Convertible
Porsche,911,1985,10,Poland,Truck
Mercedes-Benz,CLS-Class,2007,66,Sri Lanka,Truck
Toyota,Tundra,2012,37,China,SUV
Hyundai,Genesis,2011,58,China,Sedan
Pontiac,Trans Sport,1995,88,China,SUV
Chevrolet,Aveo,2009,53,France,Hatchback
Mazda,Familia,1991,9,China,Truck
Audi,Q7,2011,26,"Bonaire, Saint Eustatius and Saba ",Convertible
Chrysler,Aspen,2009,97,China,Hatchback
Buick,Lucerne,2008,61,Indonesia,Truck
Nissan,Pathfinder Armada,2004,94,Portugal,Convertible
Studebaker,Avanti,1962,37,Argentina,Hatchback
Aston Martin,DB9 Volante,2006,92,Brazil,Truck
Maybach,Landaulet,2010,89,Japan,Hatchback
Isuzu,Trooper,2002,21,New Zealand,Hatchback
Plymouth,Neon,2000,96,Russia,Convertible
Ford,Crown Victoria,1998,79,Mexico,Truck
Aston Martin,V8 Vantage S,2011,25,China,Convertible
Infiniti,QX56,2010,65,Indonesia,Truck
Lexus,GS,2006,96,Brazil,SUV
Chevrolet,G-Series 3500,1998,20,Ukraine,Convertible
Toyota,Camry,1992,86,Afghanistan,Hatchback
Pontiac,Trans Sport,1994,5,Indonesia,Convertible
Toyota,Prius Plug-in Hybrid,2012,55,Indonesia,Hatchback
Mercedes-Benz,S-Class,2004,56,China,Sedan
Cadillac,DeVille,1994,99,China,SUV
Volkswagen,Golf,1998,8,China,SUV
Ford,Contour,2000,47,Armenia,Truck
Jeep,Grand Cherokee,2001,10,Philippines,SUV
Chevrolet,Monte Carlo,2006,8,Madagascar,Sedan
Ford,Taurus,2000,50,Israel,Convertible
Suzuki,Esteem,1998,1,China,SUV
Chevrolet,Corvette,1998,88,Peru,Convertible
Chevrolet,Corvette,2012,49,China,Truck
Mercedes-Benz,SLS-Class,2012,41,China,Sedan
Pontiac,Grand Prix,2007,55,Sweden,Truck
Chevrolet,Caprice Classic,1994,26,China,SUV
GMC,1500,1998,71,Mexico,Truck
Chevrolet,Tahoe,1995,24,China,Sedan
Lincoln,Continental,1997,32,China,Convertible
Honda,Ridgeline,2011,48,Russia,Convertible
Ford,Focus,2012,28,Mauritius,Hatchback
Audi,A5,2011,38,China,Hatchback
Ford,EXP,1988,47,China,Hatchback
Buick,LeSabre,1998,30,China,Truck
GMC,Terrain,2012,26,Indonesia,Truck
Mazda,CX-7,2011,97,Philippines,SUV
Mercury,Tracer,1998,40,Dominican Republic,Truck
Acura,NSX,1999,63,France,Convertible
Ford,Contour,1997,57,Paraguay,Truck
Acura,NSX,2004,83,Indonesia,Truck
Saturn,Ion,2005,99,China,Sedan
Mazda,Mazda6,2008,13,Portugal,SUV
Ford,Taurus X,2009,74,China,Truck
Honda,Civic,1999,68,Indonesia,Convertible
GMC,Savana 1500,2009,14,China,Sedan
Chevrolet,Silverado 1500,2009,4,Brazil,Truck
Hyundai,Genesis,2011,3,Russia,Sedan
Mercury,Cougar,1984,95,United States,Sedan
Pontiac,Trans Sport,1990,22,Czech Republic,Sedan
Mazda,626,1994,92,Bhutan,Sedan
Toyota,Corolla,2003,40,China,Sedan
Chevrolet,Corvette,1966,91,Australia,Convertible
Ford,Bronco II,1986,88,Portugal,SUV
Infiniti,Q,1999,33,Bangladesh,Convertible
Jeep,Cherokee,1992,58,Philippines,SUV
Toyota,MR2,2003,100,Philippines,Sedan
Jaguar,XK Series,2001,89,Indonesia,Sedan
Chevrolet,Tahoe,2004,45,Gabon,Truck
Oldsmobile,Silhouette,1996,21,Venezuela,Truck
Hyundai,Tiburon,2008,72,China,Sedan
Lexus,ES,1991,11,Mexico,SUV
Hyundai,Accent,1997,52,Indonesia,Hatchback
Mazda,MPV,2005,10,Philippines,SUV
Honda,CR-V,2001,40,China,Truck
Chrysler,Cirrus,1996,53,Serbia,Sedan
Maserati,Quattroporte,2012,90,Philippines,Convertible
Bentley,Azure,2006,73,Portugal,Sedan
Ford,Taurus,1989,18,Portugal,Convertible
Lincoln,Continental Mark VII,1985,71,Philippines,Hatchback
Ford,Econoline E150,1992,14,Finland,Sedan
Mitsubishi,Chariot,1987,34,China,SUV
Subaru,Forester,2008,95,Norway,SUV
Lincoln,Continental Mark VII,1988,43,Brazil,Convertible
Chrysler,PT Cruiser,2010,12,China,SUV
MINI,Cooper Clubman,2008,75,China,Hatchback
Toyota,MR2,2002,33,Indonesia,Convertible
Pontiac,Bonneville,1968,85,Russia,Convertible
BMW,X6,2011,63,Qatar,Sedan
Oldsmobile,Cutlass Supreme,1994,22,Mexico,Sedan
Chevrolet,TrailBlazer,2007,11,Venezuela,Convertible
Aston Martin,V8 Vantage,2011,84,Czech Republic,Convertible
Mazda,Millenia,2000,87,China,Convertible
Chevrolet,Suburban 2500,2011,36,Argentina,Hatchback
Jeep,Wrangler,2005,2,France,SUV
Pontiac,Firefly,1994,76,Russia,Truck
Cadillac,CTS,2004,63,Indonesia,Hatchback
Nissan,Stanza,1992,81,Philippines,Convertible
Mitsubishi,Endeavor,2010,88,Czech Republic,Truck
Pontiac,Trans Sport,1997,31,Thailand,Sedan
Hyundai,Sonata,2003,26,Russia,Truck
Pontiac,G8,2008,88,Poland,Hatchback
Infiniti,I,1997,39,United States,Convertible
Mitsubishi,Mirage,1988,35,China,Convertible
Mazda,B-Series,2007,89,Serbia,Sedan
Ford,F-250 Super Duty,2006,61,Libya,SUV
Volvo,V40,2002,60,Russia,Hatchback
Mazda,626,1998,48,Brazil,Hatchback
Audi,A3,2007,65,Madagascar,Sedan
Dodge,D150 Club,1992,81,Brazil,Convertible
Jeep,Wrangler,2004,90,Indonesia,Truck
Eagle,Summit,1993,20,Philippines,SUV
Subaru,XT,1989,2,South Africa,Truck
GMC,2500,1996,46,China,Convertible
MINI,Cooper Countryman,2012,29,Chile,Truck
GMC,1500,1992,30,Greece,Hatchback
BMW,7 Series,2002,97,New Caledonia,SUV
Plymouth,Neon,1995,52,Peru,Convertible
Cadillac,Escalade ESV,2003,73,Sweden,Sedan
Dodge,Grand Caravan,2007,100,Laos,Hatchback
BMW,5 Series,2012,61,China,Convertible
Mazda,RX-7,1987,33,China,Convertible
Lincoln,Town Car,1995,67,Indonesia,Hatchback
Cadillac,DeVille,1992,38,Philippines,Convertible
Ford,Expedition EL,2011,18,China,Sedan
Lincoln,Continental,1997,93,Indonesia,SUV
Pontiac,Grand Prix,1983,63,Canada,Hatchback
Toyota,RAV4,2010,46,Serbia,Convertible
BMW,Z4,2004,96,Israel,SUV
Nissan,350Z,2004,72,Burundi,SUV
Honda,S2000,2003,42,China,Convertible
Mazda,Mazda3,2005,27,China,Hatchback
Ford,GT500,2008,18,Micronesia,Hatchback
Plymouth,Grand Voyager,1993,69,New Zealand,Sedan
Mercedes-Benz,SLK-Class,2002,65,China,Hatchback
Mazda,Mazdaspeed 3,2010,58,Brazil,Convertible
Subaru,Outback,2010,28,Indonesia,Sedan
Mazda,MPV,1994,57,Indonesia,Sedan
Buick,LeSabre,1992,97,Ecuador,SUV
Ferrari,458 Italia,2011,66,Greece,Truck
Kia,Sportage,2007,76,Yemen,Sedan
Volkswagen,Cabriolet,2001,25,China,Convertible
Chevrolet,Corvette,1993,90,Philippines,Hatchback
Volkswagen,Golf,2006,36,Philippines,Truck
GMC,2500,1995,24,Dominican Republic,SUV
Toyota,Avalon,1996,18,Japan,Convertible
Mazda,Miata MX-5,2012,29,China,Convertible
Ford,F250,1994,71,Philippines,Truck
Volvo,S60,2001,41,China,SUV
Mazda,Protege,1997,92,Indonesia,SUV
Dodge,Ram 2500,1995,24,Greece,Sedan
Chevrolet,S10,1995,2,China,Hatchback
Ford,Windstar,1995,92,Russia,SUV
Lexus,IS-F,2012,23,Russia,Truck
Saab,900,1993,62,Costa Rica,Hatchback
Pontiac,Bonneville,1967,4,Brazil,Truck
Chevrolet,Sportvan G20,1992,5,Czech Republic,SUV
Chevrolet,Aveo,2006,17,Russia,Hatchback
Toyota,Highlander,2008,3,Croatia,Convertible
Mitsubishi,Galant,1993,67,Brazil,Hatchback
Ford,Tempo,1986,61,Tanzania,Convertible
Chevrolet,Malibu Maxx,2006,35,China,Convertible
Maserati,430,1991,58,Paraguay,Truck
Toyota,Truck Xtracab SR5,1989,64,Greece,Convertible
Chevrolet,Silverado 1500,2010,62,Indonesia,SUV
Volvo,S40,2010,91,China,Sedan
Pontiac,Firefly,1984,22,Netherlands,Hatchback
Ford,F250,2011,49,Liberia,SUV
Mercedes-Benz,S-Class,1985,89,Dominican Republic,Sedan
Dodge,Caliber,2011,36,Vietnam,Convertible
Nissan,Maxima,2011,5,China,Convertible
Mazda,929,1991,12,Philippines,Convertible
Mercedes-Benz,600SEL,1992,26,Sweden,Hatchback
Isuzu,Rodeo,1997,61,Poland,Truck
Mazda,CX-9,2010,8,France,SUV
Porsche,928,1994,72,China,Sedan
Chevrolet,SSR,2005,48,United States,Convertible
Mitsubishi,Lancer,2007,88,Guam,Convertible
Jaguar,XF,2010,34,Indonesia,Sedan
Nissan,Altima,2013,76,Dominican Republic,Sedan
Kia,Spectra,2000,25,Afghanistan,Truck
Dodge,Magnum,2007,92,China,Hatchback
Kia,Sportage,2011,1,Uzbekistan,Sedan
Subaru,Tribeca,2011,28,China,Convertible
Saturn,Outlook,2008,45,Egypt,Convertible
Land Rover,Discovery,2012,5,Kenya,Truck
Toyota,Avalon,2007,52,Czech Republic,Truck
Pontiac,Fiero,1984,74,France,Convertible
Chrysler,Prowler,2002,77,Finland,SUV
Buick,Riviera,1985,94,China,Truck
Toyota,Corolla,1992,32,Philippines,Convertible
Buick,Rainier,2004,87,Czech Republic,Hatchback
Lamborghini,Diablo,1997,96,Portugal,Convertible
Mazda,B-Series,2000,61,Argentina,SUV
Dodge,Ram 1500,2001,27,Russia,SUV
Ford,E350,2011,33,Colombia,Convertible
Mitsubishi,Chariot,1992,72,China,SUV
Lincoln,Town Car,1992,53,Russia,Sedan
Chevrolet,Cavalier,1994,15,Philippines,SUV
Nissan,Pathfinder,2001,82,Indonesia,Sedan
Buick,Century,1984,70,China,Convertible
Audi,4000s,1986,67,Bosnia and Herzegovina,SUV
Dodge,Grand Caravan,2003,55,United States,Convertible
Lincoln,Continental,1993,63,Indonesia,Hatchback
Toyota,RAV4,2004,66,Lithuania,Convertible
Chevrolet,Prizm,2001,40,Ukraine,Hatchback
Mercedes-Benz,CLK-Class,2000,1,Colombia,Truck
Toyota,Land Cruiser,2003,73,Greece,SUV
Audi,Q7,2007,95,Mongolia,SUV
Volvo,XC90,2011,37,Philippines,Hatchback
Aston Martin,V8 Vantage,2007,59,Netherlands,Truck
Jeep,Cherokee,1995,28,Egypt,Convertible
Volkswagen,CC,2013,92,China,Truck
GMC,Canyon,2009,83,Portugal,Convertible
Suzuki,Equator,2012,66,Indonesia,Hatchback
Cadillac,Seville,2000,20,Peru,Hatchback
GMC,Envoy,2005,24,Czech Republic,Truck
Cadillac,CTS-V,2006,25,France,Hatchback
Cadillac,DTS,2010,87,Ireland,Convertible
Porsche,Cayman,2009,81,Portugal,SUV
Ford,Taurus,1987,9,Vietnam,Convertible
Hummer,H1,1995,77,China,Sedan
Hyundai,XG350,2004,57,Indonesia,Truck
Bentley,Continental,2011,31,Croatia,SUV
BMW,X6,2013,41,Poland,Convertible
Pontiac,Safari,1987,61,Slovenia,Sedan
Lincoln,Aviator,2005,77,Lithuania,Truck
Chevrolet,Aveo,2011,8,Portugal,Hatchback
Infiniti,M,2007,64,Mongolia,Hatchback
Dodge,Ram Van 1500,1997,19,Peru,Sedan
Honda,Accord,1987,93,Equatorial Guinea,SUV
Cadillac,DeVille,1992,42,Latvia,Hatchback
Jaguar,XK Series,2003,32,Indonesia,Convertible
Chevrolet,Cavalier,1993,57,China,Truck
Suzuki,XL7,2007,71,Indonesia,Hatchback
